text,labels
"У меня сломался личный кабинет, не могу войти уже второй день!",technical
"Не работает оплата в мобильном приложении, выдаёт ошибку 500.",technical
"После обновления сайт перестал синхронизировать данные.",technical
"API выдаёт таймаут при загрузке файла.",technical
"Как настроить бот для интеграции с CRM?",technical
"Почему списали 500 руб за подписку?",billing
"Где взять чек за тариф?",billing
"Хочу вернуть деньги за дополнительную опцию.",billing
"Некорректная сумма в счёте за продление.",billing
"Как изменить тариф на реферальная программа?",billing
"Ужасный сервис, уже 7 дней жду ответа!",complaint
"Меня игнорируют уже 10 дней, это неприемлемо.",complaint
"Потратил 5 часов на решение проблемы с API.",complaint
"Больше не буду пользоваться личный кабинет, сплошные проблемы.",complaint
"Разочарован качеством подписка, ожидаю большего.",complaint
"Спасибо за помощь, всё работает!",other
"Как связаться с поддержкой по телефону?",other
"Где найти документацию на сайт?",other
"Можно ли получить скидку на тариф?",other
"Интересует сотрудничество по партнёрство.",other
"Личный кабинет выдаёт ошибку 404 при авторизации.",technical
"Не приходит уведомление о платеже в бот.",technical
"Неверный пароль при восстановлении, хотя сбрасывал.",technical
"Экспорт данных не работает уже 3 дня.",technical
"Как использовать API для массововой рассылки?",technical
"Списали 1000 руб за тариф, но услуга не активирована.",billing
"Почему в счёте непонятную сумму за подписка?",billing
"Где скачать акт за дополнительная опция?",billing
"Хочу отменить продление и вернуть деньги.",billing
"Как перейти на другой тариф без переплаты?",billing
"Уже 14 дней не могу решить проблему, это кошмар!",complaint
"20 часов потратил на сайт, результат ноль.",complaint
"Сервер недоступен постоянно, невозможно работать!",complaint
"Разочарован, больше не рекомендую мобильное приложение.",complaint
"Качество упало, раньше было лучше.",complaint
"Всё отлично, спасибо!",other
"Есть ли партнёрская программа?",other
"Как получить доступ к документации API?",other
"Можно ли оплатить по счёту для юрлиц?",other
"Интересует франшиза, куда писать?",other
"Бот не синхронизирует контакты после обновления.",technical
"Таймаут при экспорте в Excel.",technical
"Не работает авторизация через соцсети.",technical
"Ошибка 500 при регистрации нового пользователя.",technical
"Как настроить автоматизацию отчётов через API?",technical
"Двойное списание за подписка, верните деньги!",billing
"Почему тариф подорожал без уведомления?",billing
"Где взять закрывающие документы за услуга?",billing
"5 дней жду ответа на жалобу, безобразие!",complaint
"Как оформить акт сверки?",other
